time,activity
06/04/2020 12:50:16,Treino
06/04/2020 12:50:46,Treino
06/04/2020 12:50:48,Almoço
06/04/2020 12:50:49,Estágio
06/04/2020 12:50:50,Estudo
06/04/2020 12:51:25,Almoço
06/04/2020 12:51:26,Treino
06/04/2020 12:51:28,Estudo
06/04/2020 16:57:25,Treino
06/04/2020 18:55:22,Treino
06/04/2020 18:55:41,Estágio
06/04/2020 19:05:36,Treino
06/04/2020 19:05:38,Almoço
06/04/2020 19:07:59,Almoço
06/04/2020 19:08:03,Treino
06/04/2020 19:08:03,Treino
06/04/2020 19:08:03,Treino
06/04/2020 19:08:04,Treino
06/04/2020 19:08:04,Treino
06/04/2020 19:08:04,Treino
06/04/2020 19:08:04,Treino
06/04/2020 19:08:04,Treino
06/04/2020 19:08:04,Treino
06/04/2020 19:08:05,Treino
06/04/2020 19:08:05,Treino
06/04/2020 19:15:43,Almoço
06/04/2020 19:15:47,Estudo
06/04/2020 19:15:48,Estágio
06/04/2020 19:17:08,Estágio
06/04/2020 19:17:13,Treino
06/04/2020 19:17:15,Estágio
06/04/2020 19:18:05,Duolingo
06/04/2020 19:18:36,Estágio
06/04/2020 19:18:40,Estudo
06/04/2020 19:18:41,Estudo
06/04/2020 19:18:41,Estudo
06/04/2020 19:18:41,Estudo
06/04/2020 19:18:47,Duolingo
06/04/2020 19:18:47,Duolingo
06/04/2020 19:19:31,Duolingo
06/04/2020 19:19:33,Duolingo
06/04/2020 19:19:58,Duolingo
06/04/2020 19:20:00,Duolingo
06/04/2020 19:20:02,Duolingo
06/04/2020 19:20:02,Duolingo
06/04/2020 19:20:03,Duolingo
06/04/2020 19:20:04,Treino
06/04/2020 19:20:05,Treino
06/04/2020 19:20:06,Treino
06/04/2020 19:20:08,Treino
06/04/2020 19:20:09,Treino
06/04/2020 19:20:09,Treino
06/04/2020 22:00:30,Almoço
06/04/2020 22:00:33,Estudo
06/04/2020 22:00:35,Estágio
